method,leak_id,start_time,demo_start,leak_type,year,alarmed,detected,false_alarm_before_leak,alarm_time,alarm_delay_h,threshold,calib_center,calib_scale,missed,detection_delay_hours,leak_start_time,leak_end_time
CUSUM,p514,2019-04-02 20:40:00,2019-04-01 00:00:00,abrupt,2019.0,True,False,True,2019-04-02 02:30:00,-18.166666666666668,31.328317428094817,2.0747758148977247,0.5221386238015803,True,-18.166666666666668,2019-04-02 20:40:00,2019-05-23 14:55:00
XBarFDM,p514,2019-04-02 20:40:00,2019-04-01 00:00:00,abrupt,2019.0,True,False,True,2019-04-02 01:45:00,-18.916666666666668,1.331680398931502,-0.142466658580395,0.3685367643779743,True,-18.916666666666668,2019-04-02 20:40:00,2019-05-23 14:55:00
Hybrid,p514,2019-04-02 20:40:00,2019-04-01 00:00:00,abrupt,2019.0,True,False,True,2019-04-02 01:45:00,-18.916666666666668,,,,True,-18.916666666666668,2019-04-02 20:40:00,2019-05-23 14:55:00
CUSUM,p331,2019-04-20 10:10:00,2019-04-19 00:00:00,abrupt,2019.0,True,True,False,2019-04-22 11:50:00,49.666666666666664,45.50159550613101,1.8857534576681207,0.7583599251021835,False,49.666666666666664,2019-04-20 10:10:00,2019-12-31 23:55:00
XBarFDM,p331,2019-04-20 10:10:00,2019-04-19 00:00:00,abrupt,2019.0,True,True,False,2019-04-20 16:40:00,6.5,2.0515417703796768,-0.4148247667221876,0.6165916342754661,False,6.5,2019-04-20 10:10:00,2019-12-31 23:55:00
Hybrid,p331,2019-04-20 10:10:00,2019-04-19 00:00:00,abrupt,2019.0,True,True,False,2019-04-20 16:40:00,6.5,,,,False,6.5,2019-04-20 10:10:00,2019-12-31 23:55:00
CUSUM,p193,2019-05-19 10:40:00,2019-05-18 00:00:00,incipient,2019.0,True,True,False,2019-06-13 13:10:00,602.5,45.23373385214525,3.2078329306282023,0.7538955642024209,False,602.5,2019-05-19 10:40:00,2019-12-31 23:55:00
XBarFDM,p193,2019-05-19 10:40:00,2019-05-18 00:00:00,incipient,2019.0,True,True,False,2019-05-20 04:20:00,17.666666666666668,2.034586298885092,0.2423891121142156,0.44804929669271903,False,17.666666666666668,2019-05-19 10:40:00,2019-12-31 23:55:00
Hybrid,p193,2019-05-19 10:40:00,2019-05-18 00:00:00,incipient,2019.0,True,True,False,2019-05-20 04:20:00,17.666666666666668,,,,False,17.666666666666668,2019-05-19 10:40:00,2019-12-31 23:55:00
CUSUM,p277,2019-05-30 21:55:00,2019-05-29 00:00:00,incipient,2019.0,True,True,False,2019-05-31 21:15:00,23.333333333333332,45.30218894921823,1.9697190058252478,0.7550364824869704,False,23.333333333333332,2019-05-30 21:55:00,2019-12-31 23:55:00
XBarFDM,p277,2019-05-30 21:55:00,2019-05-29 00:00:00,incipient,2019.0,True,False,True,2019-05-30 03:40:00,-18.25,0.9076432495346414,-0.4652166034037042,0.3432149632345864,True,-18.25,2019-05-30 21:55:00,2019-12-31 23:55:00
Hybrid,p277,2019-05-30 21:55:00,2019-05-29 00:00:00,incipient,2019.0,True,False,True,2019-05-30 03:40:00,-18.25,,,,True,-18.25,2019-05-30 21:55:00,2019-12-31 23:55:00
CUSUM,p142,2019-06-12 19:55:00,2019-06-11 00:00:00,abrupt,2019.0,True,True,False,2019-06-13 10:30:00,14.583333333333334,44.404380189334944,1.9903341477079322,0.7400730031555824,False,14.583333333333334,2019-06-12 19:55:00,2019-07-17 09:25:00
XBarFDM,p142,2019-06-12 19:55:00,2019-06-11 00:00:00,abrupt,2019.0,True,True,False,2019-06-13 10:20:00,14.416666666666666,1.5403842524442894,-0.4788805866683243,0.5048162097781534,False,14.416666666666666,2019-06-12 19:55:00,2019-07-17 09:25:00
Hybrid,p142,2019-06-12 19:55:00,2019-06-11 00:00:00,abrupt,2019.0,True,True,False,2019-06-13 10:20:00,14.416666666666666,,,,False,14.416666666666666,2019-06-12 19:55:00,2019-07-17 09:25:00
CUSUM,p680,2019-07-10 08:45:00,2019-07-09 00:00:00,abrupt,2019.0,True,True,False,2019-07-11 05:15:00,20.5,68.60249799325449,2.1794009019877,1.1433749665542414,False,20.5,2019-07-10 08:45:00,2019-12-31 23:55:00
XBarFDM,p680,2019-07-10 08:45:00,2019-07-09 00:00:00,abrupt,2019.0,True,True,False,2019-07-10 11:10:00,2.4166666666666665,2.263716254003025,-0.6985825020013253,0.7405746890010876,False,2.4166666666666665,2019-07-10 08:45:00,2019-12-31 23:55:00
Hybrid,p680,2019-07-10 08:45:00,2019-07-09 00:00:00,abrupt,2019.0,True,True,False,2019-07-10 11:10:00,2.4166666666666665,,,,False,2.4166666666666665,2019-07-10 08:45:00,2019-12-31 23:55:00
CUSUM,p586,2019-07-26 14:40:00,2019-07-25 00:00:00,incipient,2019.0,True,True,False,2019-08-30 17:10:00,842.5,74.56672771047324,1.9102603540969514,1.2427787951745541,False,842.5,2019-07-26 14:40:00,2019-09-16 03:20:00
XBarFDM,p586,2019-07-26 14:40:00,2019-07-25 00:00:00,incipient,2019.0,False,False,False,,,4.682860937745006,-0.3738953802542181,1.264189079499806,True,,2019-07-26 14:40:00,2019-09-16 03:20:00
Hybrid,p586,2019-07-26 14:40:00,2019-07-25 00:00:00,incipient,2019.0,True,True,False,2019-08-30 17:10:00,842.5,,,,False,842.5,2019-07-26 14:40:00,2019-09-16 03:20:00
CUSUM,p721,2019-08-02 03:00:00,2019-08-01 00:00:00,incipient,2019.0,True,True,False,2019-08-06 05:35:00,98.58333333333333,45.473487696348435,1.8266738762547452,0.7578914616058072,False,98.58333333333333,2019-08-02 03:00:00,2019-12-31 23:55:00
XBarFDM,p721,2019-08-02 03:00:00,2019-08-01 00:00:00,incipient,2019.0,True,True,False,2019-08-14 03:30:00,288.5,1.8372443016749322,-0.33352966018072344,0.5426934904639139,False,288.5,2019-08-02 03:00:00,2019-12-31 23:55:00
Hybrid,p721,2019-08-02 03:00:00,2019-08-01 00:00:00,incipient,2019.0,True,True,False,2019-08-06 05:35:00,98.58333333333333,,,,False,98.58333333333333,2019-08-02 03:00:00,2019-12-31 23:55:00
CUSUM,p800,2019-08-16 14:00:00,2019-08-15 00:00:00,incipient,2019.0,True,True,False,2019-08-21 12:00:00,118.0,37.97928667335044,1.7821966602610861,0.6329881112225073,False,118.0,2019-08-16 14:00:00,2019-10-01 16:35:00
XBarFDM,p800,2019-08-16 14:00:00,2019-08-15 00:00:00,incipient,2019.0,True,True,False,2019-08-22 03:40:00,133.66666666666666,1.6629056321646871,-0.31316094433665886,0.4940166441253365,False,133.66666666666666,2019-08-16 14:00:00,2019-10-01 16:35:00
Hybrid,p800,2019-08-16 14:00:00,2019-08-15 00:00:00,incipient,2019.0,True,True,False,2019-08-21 12:00:00,118.0,,,,False,118.0,2019-08-16 14:00:00,2019-10-01 16:35:00
